0000470	Universiteit Utrecht
0000471	Vleeshouwersgilde van Amsterdam
0000472	Waalse Synode
0000473	Waalse kerken
0000474	Waalse kerken in Maastricht
0000475	Weeshuizen in Amsterdam
0000476	Weeshuizen in Delft
0000477	Weeshuizen in Maastricht
0000478	Weeshuizen in ’s Gravenhage
0000479	Weesmeesteren van Curaçao
0000480	Weesmeesteren van Suriname
0000481	Westindische Compagnie
0000482	eerste Regiment Orange Nassau
0000483	haar Hoog Mogende Gedeputeerden in het Leger en te Velde
0000484	heeren Gedeputeerde in het Leger
0000485	militie van den Staat in de Spaansche Nederlanden
0000486	nationale Troupes van den Staat
0000487	t' Regimentvan den Grave van Hornes
0000488	tweede Battaillon van het tweede Regiment Orange Nassau
0000489	tweede Regiment van den Furst van Waldek
0000490	vyfde Battaillon van Waldek
0000491	Algemene zaken van het Bondgenootschap te Lande
0000492	Buitenlandse zaken
0000493	Conferentie
0000494	Conferentie met de Ambassadeur
0000495	Conferentie met de Ambassadeur van Spanje
0000496	Dominiale zaken van den Koning van Spanje
0000497	Examinatie van de Vlaamse Octrooien
0000498	Financiele zaken
0000499	Het stuk van de Beden van Brabant
0000500	Het stuk van de Beden van de Landen van Overmaze
0000501	Het stuk van de Bezetting
0000502	Het stuk van de Licenten langs de Maas
0000503	Het stuk van de Munt
0000504	Het stuk van de Octrooien
0000505	Het stuk van de Octrooien op nieuwe Inventien
0000506	Het stuk van de Octrooien van Bedijking
0000507	Het stuk van de Patenten
0000508	Het stuk van het Commandement
0000509	Kerkelijke zaken
0000510	Militaire zaken
0000511	Secrete Franse zaken
0000512	Secrete Zeezaken
0000513	Secrete zaken
0000514	Stuk van de Militaire Verloven
0000515	Tot den Staat van Oorlog
0000516	Zaken omtrent de Limietscheiding in Vlaanderen
0000517	Zaken rakende het Reglement van Politie
0000518	Zaken van Artois
0000519	Zaken van Benthem
0000520	Zaken van Bergen op Zoom
0000521	Zaken van Brandenburg
0000522	Zaken van Brazilië
0000523	Zaken van Bremen
0000524	Zaken van Brunswijk en Lunenburg
0000525	Zaken van Brussel
0000526	Zaken van Danzig
0000527	Zaken van Denemarken
0000528	Zaken van Denemarken en Lunenburg
0000529	Zaken van Doornik
0000530	Zaken van Doornik en Yperen
0000531	Zaken van Engeland
0000532	Zaken van Frankrijk
0000533	Zaken van Frankrijk en Denemarken
0000534	Zaken van Frankrijk en Engeland
0000535	Zaken van Frankrijk en Spanje
0000536	Zaken van Gemert
0000537	Zaken van Guinea
0000538	Zaken van Hamburg
0000539	Zaken van Keulen
0000540	Zaken van Kleve
0000541	Zaken van Limburg
0000542	Zaken van Luik
0000543	Zaken van Lunenburg
0000544	Zaken van Maastricht
0000545	Zaken van Maastricht en de Landen van Overmaze
0000546	Zaken van Maltha
0000547	Zaken van Megen
0000548	Zaken van Megen en Ravesteijn
0000549	Zaken van Moskou
0000550	Zaken van Munster
0000551	Zaken van Oorlog
0000552	Zaken van Oost-Friesland
0000553	Zaken van Orange
0000554	Zaken van Overijssel
0000555	Zaken van Polen
0000556	Zaken van Portugal
0000557	Zaken van Pruisen
0000558	Zaken van Ravesteijn
0000559	Zaken van Rijnberk
0000560	Zaken van Rijssel
0000561	Zaken van Rijssel en Doornik
0000562	Zaken van Rijssel, Doornik en Artois
0000563	Zaken van Spanje
0000564	Zaken van Stad en Lande
0000565	Zaken van Utrecht
0000566	Zaken van Vlaanderen
0000567	Zaken van Yperen
0000568	Zaken van Zweden
0000569	Zaken van Zweden en Danzig
0000570	Zaken van Zweden en Denemarken
0000571	Zaken van Zweden en Polen
0000572	Zaken van Zwitserland
0000573	Zaken van de Admiraliteit
0000574	Zaken van de Admiraliteit in Friesland
0000575	Zaken van de Barriere
0000576	Zaken van de Beveiling van de Zee
0000577	Zaken van de Brazilische pretenties
0000578	Zaken van de Chambre Mypartye
0000579	Zaken van de Commercie en Navigatie
0000580	Zaken van de Differenten in de Provincie van Stad en Lande
0000581	Zaken van de Geestelijke goederen
0000582	Zaken van de Gereclameerde goederen
0000583	Zaken van de Griffie
0000584	Zaken van de Kolonien
0000585	Zaken van de Landen van Overmaze
0000586	Zaken van de Marine
0000587	Zaken van de Meierij van ’s Hertogenbosch
0000588	Zaken van de Nalatenschap van zijne Majesteyt van Groot-Britannië
0000589	Zaken van de Nationale Conventie
0000590	Zaken van de Noordse Compagnie
0000591	Zaken van de Ommelanden
0000592	Zaken van de Oost- en West-Indische Compagnie
0000593	Zaken van de Oost-Indische Compagnie
0000594	Zaken van de Partage van de Landen van Overmaze
0000595	Zaken van de Plakkaten en Reglementen
0000596	Zaken van de Religieverwanten
0000597	Zaken van de Renthieren van Brabant
0000598	Zaken van de Roomse Geestelijkheid
0000599	Zaken van de Triple Alliantie
0000600	Zaken van de Vredehandeling
0000601	Zaken van de Waldenzen
0000602	Zaken van de West-Indische Compagnie
0000603	Zaken van de West-Indische Kolonien
0000604	Zaken van de Zee
0000605	Zaken van de kerk van Fijnaart
0000606	Zaken van den Levantse Handel
0000607	Zaken van den Neder Rhyn en IJssel
0000608	Zaken van het Congres
0000609	Zaken van het Klein Zegel
0000610	Zaken van het Landschap Drenthe
0000611	Zaken van het Leger
0000612	Zaken van het Overkwartier van Gelderland
0000613	admiraal
0000614	advocaat
0000615	agent
0000616	ambassadeur
0000617	bode
0000618	bondgenoot
0000619	burgemeester
0000620	burger
0000621	commies
0000622	conservator
0000623	convoymeester
0000624	crediteur
0000625	debiteur
0000626	deurwaarder
0000627	edele
0000628	engelsen
0000629	excellentie
0000630	gecommitteerde
0000631	gedeputeerde
0000632	generaal
0000633	gezant
0000634	gouverneur
0000635	graaf
0000636	griffier
0000637	hellebardier
0000638	hopman
0000639	inwoonder
0000640	jonker
0000641	jonkvrouw
0000642	kanselier
0000643	kapitein
0000644	keizer
0000645	keurvorst
0000646	knecht
0000647	kolonel
0000648	koning
0000649	kooplieden
0000650	koopman
0000651	lieutenant
0000652	majesteit
0000653	meester
0000654	officier
0000655	ontfanger
0000656	overste
0000657	pachter
0000658	pensionaris
0000659	potentaat
0000660	prins
0000661	raad
0000662	raadsheer
0000663	rapporteur
0000664	remonstranten
0000665	resident
0000666	ritmeester
0000667	ruiter
0000668	schipper
0000669	schout
0000670	secretaris
0000671	sergeant
0000672	soldaat
0000673	tresorier
0000674	vaandrager
0000675	vijand
0000676	voetknecht
0000677	voorzitter
0000678	vorst
0000679	vrouw
0000680	weduwe
0000681	woonachtig
0000682	zoon
0000683	aangesteld
0000684	aannemer
0000685	aanwezige
0000686	aartsbisschop
0000687	aartshertog
0000688	abt
0000689	abt, dei
0000690	adelborst
0000691	adjudant
0000692	adjunct-reviseur
0000693	administrator
0000694	administrator, gouverneur, palatine
0000695	admiraal, lieutenant, lieutenant generaal
0000696	admiraal, vice-admiraal, vide-admiraal
0000697	admodiateur
0000698	adstructie
0000699	aduis
0000700	adventurier
0000701	adventurier, kooplieden
0000702	advocaat, fiscaal
0000703	advocaat, fiscaal, secretaris
0000704	afgezant
0000705	afkomstig uit
0000706	afkomstig uit, douariere, gravin
0000707	afwezige
0000708	aide
0000709	amanuensis
0000710	ambassadeur, baron, extraordinaris envoyé
0000711	ambassadeur, conseiller, mareschal
0000712	ambassadeur, extraordinaris ambassadeur, extraordinaris envoyé
0000713	ambassadeur, extraordinaris ambassadeur, extraordinaris envoyé, graaf
0000714	ambassadeur, extraordinaris ambassadeur, extraordinaris envoyé, plenipotentiaris
0000715	ambt, ambtenaar
0000716	ambtenaar
0000717	ambtenaar, ambtman
0000718	ambtenaar, ambtman, schepen
0000719	ambtenaar, inwoonder
0000720	apostel
0000721	apotheker
0000722	arbeider
0000723	arbiter
0000724	armenmeester
0000725	armenmeester, vertegenwoordiger
0000726	assignator
0000727	assistent
0000728	assuradeurs
0000729	attaché
0000730	auditeur
0000731	baanderheer
0000732	baljuw
0000733	baljuw, commandant
0000734	bandelier
0000735	bandelier, voorlezer
0000736	bankier
0000737	baron
0000738	barones
0000739	beambte, officier
0000740	bedelaar
0000741	bediende
0000742	bediende, militair, zwitsers
0000743	behanger
0000744	bei
0000745	bestelmeester
0000746	bevelhebber
0000747	bevelhebber, officier, rechter
0000748	bewindhebber
0000749	bewindhebber, geoctroyeerd
0000750	bewindhebber, geoctroyeerd, participant
0000751	bewindhebber, hoogheid
0000752	bewindhebber, voorzitter
0000753	bisschop
0000754	bisschop, doorluchtigheid, prins
0000755	bisschop, doorluchtigheid, vorst
0000756	bisschop, hoogheid
0000757	bisschop, prins
0000758	bode, klerk
0000759	boekhouder
0000760	boekhouder, inwoonder
0000761	boekhouder, koopman, reeder
0000762	boekhouder, reeder, schipper, vrouw
0000763	boekverkoper
0000764	boekverkoper, principaal, verkopers
0000765	boer
0000766	boer, burger, gereformeerd
0000767	bootsgezel
0000768	bootsgezel, bootsgezellen, officier
0000769	bootsvolk
0000770	brabander
0000771	brigadier
0000772	broeder
0000773	broeder, graaf
0000774	brouwer
0000775	buitenlui
0000776	burgemeester, burger, capellaan, kapelaan, kapitein, zoon
0000777	burgemeester, schepen
0000778	burger, inwoonder
0000779	burggraaf
0000780	cadet
0000781	capellaan
0000782	carthuser
0000783	cassier
0000784	castiliaan
0000785	chef
0000786	chef, envoyé, extraordinaris envoyé
0000787	chercher
0000788	chevalier
0000789	chirurgijn
0000790	chirurgijn, chirurgyn
0000791	christen
0000792	coadjutor
0000793	collator
0000794	collecteur
0000795	commandant
0000796	commandant, envoyé, extraordinaris envoyé, infant, kolonel, majesteit, majoor, major, trouppes
0000797	commandant, infant
0000798	commissaris
0000799	commissaris, procureur
0000800	commodor
0000801	comte
0000802	comte, graaf
0000803	concierge
0000804	conseiller
0000805	consul
0000806	consul, erfgenaam, weduwe
0000807	consul, procureur, syndicus, voorzitter
0000808	controlleur
0000809	convoyer
0000810	cornet
0000811	corporaal
0000812	correspondent
0000813	courier
0000814	curator
0000815	curator, gesurrogeerde
0000816	czaar
0000817	dauphin
0000818	deciseur
0000819	deeken
0000820	dei
0000821	diaken
0000822	dienaar
0000823	dienstmeid
0000824	dijkgraaf
0000825	directeur
0000826	directeur, grootmeester, kanselier, vice-kanselier, voorzitter
0000827	dochter
0000828	dochter, erfgenaam
0000829	dochter, erfgenaam, meerderjarige
0000830	dochter, erfgenaam, moeder
0000831	dochter, meester
0000832	dochter, minderjarige
