beroep,aantal
[Rademaker],1
[Schatter],1
[Schepper],1
[Snijder],1
[Visser],1
[Vogelaar],1
[Waard],1
[Wagenmaker],1
[Zager],1
kleermaker,1
